time (s),leafValue( VT("/Vout") "Design_Point" 1 ) (V),leafValue( VT("/Vin") "Design_Point" 1 ) (V),leafValue( IT("/IPRB_LOAD/PLUS") "Design_Point" 1 ) (A)
1.75328958279E-6,909.859482041E-3,1.00000000000,100.000000000E-3
1.78246786401E-6,907.792966194E-3,1.00000000000,100.000000000E-3
1.81085629200E-6,906.448995651E-3,1.00000000000,100.000000000E-3
1.83916414347E-6,905.753870633E-3,1.00000000000,100.000000000E-3
1.86850550420E-6,905.649323751E-3,1.00000000000,100.000000000E-3
1.90009787787E-6,906.112199197E-3,1.00000000000,100.000000000E-3
1.93584814760E-6,907.139746421E-3,1.00000000000,100.000000000E-3
1.98051677870E-6,908.769161638E-3,1.00000000000,100.000000000E-3
2.04509544979E-6,910.891705943E-3,1.00000000000,100.000000000E-3
2.09144970176E-6,911.841079918E-3,1.00000000000,100.000000000E-3
2.13029217541E-6,912.090964024E-3,1.00000000000,100.000000000E-3
2.16753311537E-6,911.812483243E-3,1.00000000000,100.000000000E-3
2.20408291113E-6,911.079815760E-3,1.00000000000,100.000000000E-3
2.24276232189E-6,909.912510842E-3,1.00000000000,100.000000000E-3
2.28673142869E-6,908.289927483E-3,1.00000000000,100.000000000E-3
2.34414762912E-6,906.090319823E-3,1.00000000000,100.000000000E-3
2.39382392636E-6,904.396246764E-3,1.00000000000,100.000000000E-3
2.44812925550E-6,903.005993176E-3,1.00000000000,100.000000000E-3
2.49702542070E-6,902.251186971E-3,1.00000000000,100.000000000E-3
2.54394544119E-6,901.956218466E-3,1.00000000000,100.000000000E-3
2.59312091068E-6,902.004427333E-3,1.00000000000,100.000000000E-3
2.64887845934E-6,902.314764394E-3,1.00000000000,100.000000000E-3
2.72657074904E-6,902.793209618E-3,1.00000000000,100.000000000E-3
2.81390102697E-6,903.002732203E-3,1.00000000000,100.000000000E-3
2.87916027262E-6,902.842599536E-3,1.00000000000,100.000000000E-3
2.94199969998E-6,902.465852277E-3,1.00000000000,100.000000000E-3
3.00948159839E-6,901.949749465E-3,1.00000000000,100.000000000E-3
3.09466264375E-6,901.390657803E-3,1.00000000000,100.000000000E-3
3.19466264375E-6,901.119814053E-3,1.00000000000,100.000000000E-3
3.28069808538E-6,901.264410555E-3,1.00000000000,100.000000000E-3
3.36485194820E-6,901.666315405E-3,1.00000000000,100.000000000E-3
3.46184253855E-6,902.268987250E-3,1.00000000000,100.000000000E-3
3.56184253855E-6,902.884110151E-3,1.00000000000,100.000000000E-3
3.66184253855E-6,903.429318096E-3,1.00000000000,100.000000000E-3
3.76184253855E-6,903.938467087E-3,1.00000000000,100.000000000E-3
3.86184253855E-6,904.489368245E-3,1.00000000000,100.000000000E-3
3.96184253855E-6,905.144124741E-3,1.00000000000,100.000000000E-3
4.06184253855E-6,905.917004561E-3,1.00000000000,100.000000000E-3
4.16184253855E-6,906.777684049E-3,1.00000000000,100.000000000E-3
4.26184253855E-6,907.676637385E-3,1.00000000000,100.000000000E-3
4.36184253855E-6,908.572274598E-3,1.00000000000,100.000000000E-3
4.46184253855E-6,909.445219364E-3,1.00000000000,100.000000000E-3
4.56184253855E-6,910.296583962E-3,1.00000000000,100.000000000E-3
4.66184253855E-6,911.136425677E-3,1.00000000000,100.000000000E-3
4.76184253855E-6,911.971622907E-3,1.00000000000,100.000000000E-3
4.86184253855E-6,912.799669144E-3,1.00000000000,100.000000000E-3
4.96184253855E-6,913.609674381E-3,1.00000000000,100.000000000E-3
5.06184253855E-6,914.387698751E-3,1.00000000000,100.000000000E-3
5.16184253855E-6,915.122238556E-3,1.00000000000,100.000000000E-3
5.26184253855E-6,915.806976438E-3,1.00000000000,100.000000000E-3
5.36184253855E-6,916.440272169E-3,1.00000000000,100.000000000E-3
5.46184253855E-6,917.022729366E-3,1.00000000000,100.000000000E-3
5.56184253855E-6,917.554729059E-3,1.00000000000,100.000000000E-3
5.66184253855E-6,918.035213669E-3,1.00000000000,100.000000000E-3
5.76184253855E-6,918.461932062E-3,1.00000000000,100.000000000E-3
5.86184253855E-6,918.832527088E-3,1.00000000000,100.000000000E-3
5.96184253855E-6,919.145611449E-3,1.00000000000,100.000000000E-3
6.06184253855E-6,919.401262692E-3,1.00000000000,100.000000000E-3
6.16184253855E-6,919.600854798E-3,1.00000000000,100.000000000E-3
6.26184253855E-6,919.746513543E-3,1.00000000000,100.000000000E-3
6.36184253855E-6,919.840582324E-3,1.00000000000,100.000000000E-3
6.46184253855E-6,919.885351676E-3,1.00000000000,100.000000000E-3
6.56184253855E-6,919.883085056E-3,1.00000000000,100.000000000E-3
6.66184253855E-6,919.836208732E-3,1.00000000000,100.000000000E-3
6.76184253855E-6,919.747491735E-3,1.00000000000,100.000000000E-3
6.86184253855E-6,919.620104232E-3,1.00000000000,100.000000000E-3
6.96184253855E-6,919.457542582E-3,1.00000000000,100.000000000E-3
7.06184253855E-6,919.263482732E-3,1.00000000000,100.000000000E-3
